above_majority_sign_agrees,bf16_above_majority,bf16_accuracy,bf16_macro_f1,location,model_id,q8_above_majority,q8_accuracy,q8_macro_f1,q8_model_revision,split,status,task
True,0.1657810839532412,0.8544102019128587,0.8357017036794977,prompt_final,gemma-4-2b,0.15196599362380447,0.8405951115834219,0.819491757922392,Q8_0-artifact,lemma-heldout,metric_comparison_only,pos
True,0.11052072263549417,0.7991498405951116,0.7610142277926314,target_final_subtoken,gemma-4-2b,0.13708820403825717,0.8257173219978746,0.7877621624619223,Q8_0-artifact,lemma-heldout,metric_comparison_only,pos
True,0.274468085106383,0.9287234042553192,0.9220520436894706,prompt_final,gemma-4-2b,0.29968119022316686,0.9319872476089267,0.9271277007666692,Q8_0-artifact,lemma-heldout,metric_comparison_only,gender
True,0.13617021276595742,0.7904255319148936,0.7764539007092199,target_final_subtoken,gemma-4-2b,0.2263549415515409,0.8586609989373007,0.8509524404985203,Q8_0-artifact,lemma-heldout,metric_comparison_only,gender
True,0.1372340425531915,0.9478723404255319,0.9088516639700903,prompt_final,gemma-4-2b,0.128586609989373,0.9681190223166843,0.876497650503112,Q8_0-artifact,lemma-heldout,metric_comparison_only,number
True,0.0989361702127659,0.9095744680851063,0.7389910292333424,target_final_subtoken,gemma-4-2b,0.1243358129649309,0.9638682252922423,0.9100050590775245,Q8_0-artifact,lemma-heldout,metric_comparison_only,number
True,0.16153028692879912,0.7247608926673751,0.7013004268399952,prompt_final,gemma-4-2b,0.21997874601487777,0.7832093517534537,0.7533410462227117,Q8_0-artifact,root-heldout,metric_comparison_only,pos
True,0.21253985122210417,0.7757704569606801,0.7592137770267903,target_final_subtoken,gemma-4-2b,0.26567481402763016,0.8289054197662061,0.8204373355077075,Q8_0-artifact,root-heldout,metric_comparison_only,pos
True,0.29255319148936165,0.8946808510638298,0.8924628051422794,prompt_final,gemma-4-2b,0.2784272051009564,0.89798087141339,0.8936923366597628,Q8_0-artifact,root-heldout,metric_comparison_only,gender
True,0.2053191489361702,0.8074468085106383,0.7984120834266392,target_final_subtoken,gemma-4-2b,0.24654622741764076,0.8660998937300743,0.8571934439498179,Q8_0-artifact,root-heldout,metric_comparison_only,gender
False,-0.03297872340425534,0.8308510638297872,0.7581294895873745,prompt_final,gemma-4-2b,0.09351753453772582,0.9691817215727949,0.7889862914862915,Q8_0-artifact,root-heldout,metric_comparison_only,number
True,0.07234042553191489,0.9361702127659575,0.755175739708234,target_final_subtoken,gemma-4-2b,0.06269925611052074,0.9383634431455898,0.7816058160581605,Q8_0-artifact,root-heldout,metric_comparison_only,number
True,0.14984059511158343,0.8384697130712009,0.834239985586883,prompt_final,llama-3.1-8b,0.20191285866099895,0.8905419766206164,0.8673502133880794,Q8_0-artifact,lemma-heldout,metric_comparison_only,pos
True,0.10839532412327313,0.7970244420828906,0.7742888159232613,target_final_subtoken,llama-3.1-8b,0.10414452709883104,0.7927736450584485,0.7766807342517938,Q8_0-artifact,lemma-heldout,metric_comparison_only,pos
True,0.28510638297872337,0.9393617021276596,0.9328361857271253,prompt_final,llama-3.1-8b,0.29968119022316686,0.9319872476089267,0.926866469131005,Q8_0-artifact,lemma-heldout,metric_comparison_only,gender
True,0.2468085106382979,0.9010638297872341,0.8913550051638064,target_final_subtoken,llama-3.1-8b,0.25398512221041447,0.8862911795961743,0.8783798637726921,Q8_0-artifact,lemma-heldout,metric_comparison_only,gender
True,0.14255319148936174,0.9531914893617022,0.9467756641385884,prompt_final,llama-3.1-8b,0.12752391073326252,0.9670563230605739,0.901998211650635,Q8_0-artifact,lemma-heldout,metric_comparison_only,number
