model_id,feature_set,task,split,fold,label_mode,layer,dev_accuracy,dev_macro_f1
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,0,0.9188829787234043,0.9151861404627858
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,1,0.9401595744680851,0.9371329737924013
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,2,0.9335106382978723,0.9295642726012514
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,3,0.9281914893617021,0.9246968067351555
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,4,0.9654255319148937,0.9631725270668364
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,5,0.9481382978723404,0.9444813584348468
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,6,0.9281914893617021,0.9253787294096893
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,7,0.9335106382978723,0.929276513783556
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,8,0.9521276595744681,0.9490081144002351
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,9,0.9175531914893617,0.913222156045265
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,10,0.949468085106383,0.9460223194384629
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,11,0.9468085106382979,0.9435757375671538
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,12,0.9534574468085106,0.9505277106848491
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,13,0.9388297872340425,0.9350238551410646
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,14,0.949468085106383,0.9462501504755025
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,15,0.9507978723404256,0.9477007227239833
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,16,0.9401595744680851,0.9357502919146755
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,17,0.9242021276595744,0.9181170591370428
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,18,0.9401595744680851,0.9359400289632848
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,19,0.925531914893617,0.9207896954375827
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,20,0.9122340425531915,0.9055535257581293
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,21,0.9215425531914894,0.9173692552095847
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,22,0.9401595744680851,0.9357502919146755
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,23,0.9215425531914894,0.9157614938436855
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,24,0.9202127659574468,0.9148936170212766
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,25,0.9202127659574468,0.9153636063507309
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,26,0.9454787234042553,0.9419664620660707
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,27,0.913563829787234,0.9089661286207289
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,28,0.9321808510638298,0.9282033041606215
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,29,0.910904255319149,0.9059254072725575
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,30,0.8896276595744681,0.8853656431193857
allam-7b,full_prompt_final,gender,lemma-heldout,0,real,31,0.8763297872340425,0.8716900129344745
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,0,0.8763297872340425,0.8736757685284029
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,1,0.9481382978723404,0.9464636784315873
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,2,0.9574468085106383,0.9562176599445443
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,3,0.9414893617021277,0.9393886104516544
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,4,0.9002659574468085,0.8980445892227347
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,5,0.9574468085106383,0.9561359377620287
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,6,0.9175531914893617,0.9164084911072863
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,7,0.9295212765957447,0.9276480722067011
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,8,0.9321808510638298,0.9293315128164024
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,9,0.9281914893617021,0.9249623037577979
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,10,0.9348404255319149,0.9319493461426944
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,11,0.9361702127659575,0.9334513274336284
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,12,0.9321808510638298,0.9292522528339129
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,13,0.9468085106382979,0.9449547999853602
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,14,0.9335106382978723,0.9311234209677892
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,15,0.9348404255319149,0.9331668308113099
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,16,0.9401595744680851,0.938459188294152
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,17,0.9401595744680851,0.9380427439155008
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,18,0.9361702127659575,0.9338101001210254
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,19,0.9335106382978723,0.9321627804599941
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,20,0.9242021276595744,0.9212752006964456
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,21,0.9162234042553191,0.9139205087440382
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,22,0.9095744680851063,0.9071301442010824
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,23,0.9029255319148937,0.9001671276771799
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,24,0.9215425531914894,0.9190871407130209
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,25,0.9095744680851063,0.9069625273821567
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,26,0.9281914893617021,0.9255363626361536
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,27,0.9122340425531915,0.9090829156774818
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,28,0.886968085106383,0.8832039964990435
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,29,0.8829787234042553,0.8799210312391128
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,30,0.8856382978723404,0.8817713817713817
allam-7b,full_prompt_final,gender,lemma-heldout,1,real,31,0.875,0.8696755162241888
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,0,0.8962765957446809,0.8912287208396692
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,1,0.973404255319149,0.9715080285222821
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,2,0.9654255319148937,0.9629056248671948
allam-7b,full_prompt_final,gender,lemma-heldout,2,real,3,0.9507978723404256,0.9467641178215076
