model_id,task,feature_set,random_minus_lemma_macro_f1,random_minus_root_macro_f1
allam-7b,gender,full_prompt_final,0.039379731771685744,0.07315807963874177
allam-7b,number,full_prompt_final,0.03579996293343435,0.09816030482513971
allam-7b,pos,full_prompt_final,0.08891684019359702,0.09937110331433274
allam-7b,gender,metadata_free_prompt_final,0.10066134273930671,0.1173152206371103
allam-7b,number,metadata_free_prompt_final,0.06358635262984791,0.08254844890476798
allam-7b,pos,metadata_free_prompt_final,0.07814950407396404,0.12000127920516912
allam-7b,gender,target_final_subtoken,0.054497522204677296,0.06656278780461977
allam-7b,number,target_final_subtoken,0.046896517891895306,0.036469024256723714
allam-7b,pos,target_final_subtoken,0.06360377203562484,0.0925403479317275
allam-7b,gender,target_mean_span,0.061020331845134224,0.06858387459016202
allam-7b,number,target_mean_span,0.04797262611310371,0.028642448131315
allam-7b,pos,target_mean_span,0.08358033859443204,0.09637203664434513
gemma-4-2b,gender,full_prompt_final,0.04536761145053547,0.06785573084058338
gemma-4-2b,number,full_prompt_final,0.06764905883431283,0.14977231339613528
gemma-4-2b,pos,full_prompt_final,0.12062032710947967,0.16823629200123869
gemma-4-2b,gender,metadata_free_prompt_final,0.1211042887764513,0.1328788134925467
gemma-4-2b,number,metadata_free_prompt_final,0.16495712343215296,0.10493271680690808
gemma-4-2b,pos,metadata_free_prompt_final,0.19260375435205135,0.1958252803281494
gemma-4-2b,gender,target_final_subtoken,0.1377213664275465,0.15148326867209805
gemma-4-2b,number,target_final_subtoken,0.13366297517410453,0.11592322929874799
gemma-4-2b,pos,target_final_subtoken,0.17350637242638467,0.20610336465224888
gemma-4-2b,gender,target_mean_span,0.15941552022820749,0.15803051961994818
gemma-4-2b,number,target_mean_span,0.15752715627051117,0.17216966154137026
gemma-4-2b,pos,target_mean_span,0.18436536142001303,0.1978306520555092
jais-13b,gender,full_prompt_final,0.03787496874221363,0.051678664619371206
jais-13b,number,full_prompt_final,0.07696282722022418,0.09127973030858227
jais-13b,pos,full_prompt_final,0.0666441796552888,0.10288407666148625
jais-13b,gender,metadata_free_prompt_final,0.03120989240014338,0.03764288225712542
jais-13b,number,metadata_free_prompt_final,0.06535221283727921,0.11510452734741661
jais-13b,pos,metadata_free_prompt_final,0.05860005478852848,0.07383669570239304
jais-13b,gender,target_final_subtoken,0.05330041649093775,0.06747600874599602
jais-13b,number,target_final_subtoken,0.09281136520032862,0.09749251794697678
jais-13b,pos,target_final_subtoken,0.11149090605520262,0.11963763334602517
jais-13b,gender,target_mean_span,0.04721700596996159,0.08604762741321859
jais-13b,number,target_mean_span,0.09809664034751175,0.12010448581881994
jais-13b,pos,target_mean_span,0.1135771635443934,0.1381589408986461
llama-3.1-8b,gender,full_prompt_final,0.03606647770873539,0.05011747309031822
llama-3.1-8b,number,full_prompt_final,0.05243035666143603,0.08828665759599175
llama-3.1-8b,pos,full_prompt_final,0.10927573130073487,0.131471175175794
llama-3.1-8b,gender,metadata_free_prompt_final,0.09050440681525396,0.08609849137554948
llama-3.1-8b,number,metadata_free_prompt_final,0.06710098675886766,0.039699017845380435
llama-3.1-8b,pos,metadata_free_prompt_final,0.15247030253860483,0.163465201553882
llama-3.1-8b,gender,target_final_subtoken,0.08892983139869215,0.07040579889858656
llama-3.1-8b,number,target_final_subtoken,0.057192387631466945,0.07190693994609232
llama-3.1-8b,pos,target_final_subtoken,0.1194950371152812,0.12031645677820912
llama-3.1-8b,gender,target_mean_span,0.059611166207465094,0.070927408163863
llama-3.1-8b,number,target_mean_span,0.06647547808898402,0.053256243010651905
llama-3.1-8b,pos,target_mean_span,0.1026459501769007,0.1276878830033651
llama-3.2-1b,gender,full_prompt_final,0.06845363125566273,0.1050626339305556
llama-3.2-1b,number,full_prompt_final,0.10083754770404729,0.1610860273146515
llama-3.2-1b,pos,full_prompt_final,0.13513770330867947,0.14501529399734414
llama-3.2-1b,gender,metadata_free_prompt_final,0.1317134374726976,0.17521097401776087
llama-3.2-1b,number,metadata_free_prompt_final,0.18095353663581304,0.2173388596536482
llama-3.2-1b,pos,metadata_free_prompt_final,0.20697114445844633,0.2305928813065765
llama-3.2-1b,gender,target_final_subtoken,0.19591269548569978,0.22746708663112236
llama-3.2-1b,number,target_final_subtoken,0.23863795581960145,0.20301589332708359
llama-3.2-1b,pos,target_final_subtoken,0.24191240260802094,0.2308729745544731
llama-3.2-1b,gender,target_mean_span,0.1919900081454664,0.22087352378549874
llama-3.2-1b,number,target_mean_span,0.2862662331579666,0.2687049139744633
llama-3.2-1b,pos,target_mean_span,0.2784528772765804,0.2796479486871055
llama-3.2-3b,gender,full_prompt_final,0.05704410632727919,0.09017978384906122
llama-3.2-3b,number,full_prompt_final,0.05237854472380021,0.09107387358259267
llama-3.2-3b,pos,full_prompt_final,0.12855852367496723,0.1106697710423078
llama-3.2-3b,gender,metadata_free_prompt_final,0.15364433255902388,0.1661532414785103
llama-3.2-3b,number,metadata_free_prompt_final,0.11912203414500466,0.10162677388599184
llama-3.2-3b,pos,metadata_free_prompt_final,0.17241849929964637,0.17570638224135005
llama-3.2-3b,gender,target_final_subtoken,0.11583406149058462,0.11556564777885614
llama-3.2-3b,number,target_final_subtoken,0.14970801809907663,0.0991025233472147
llama-3.2-3b,pos,target_final_subtoken,0.15052584614245956,0.14891446729669122
llama-3.2-3b,gender,target_mean_span,0.12833965259106106,0.1349591611017089
llama-3.2-3b,number,target_mean_span,0.14579666226843657,0.12512554763174477
llama-3.2-3b,pos,target_mean_span,0.15758047176256063,0.1756870270213473
mistral-7b,gender,full_prompt_final,0.012700378605572049,0.041554015186132554
mistral-7b,number,full_prompt_final,0.05163183361107304,0.06553329338567992
mistral-7b,pos,full_prompt_final,0.11884357028742731,0.1282152892070384
mistral-7b,gender,metadata_free_prompt_final,0.09348068116905295,0.10314989606869918
mistral-7b,number,metadata_free_prompt_final,0.14434256457201133,0.13740145923062141
mistral-7b,pos,metadata_free_prompt_final,0.15142858195218922,0.16257702358502113
mistral-7b,gender,target_final_subtoken,0.07731091463238782,0.09960965962379553
mistral-7b,number,target_final_subtoken,0.13292682487212326,0.10573250548169266
mistral-7b,pos,target_final_subtoken,0.1257035363122867,0.14619362713123085
mistral-7b,gender,target_mean_span,0.06722159476253398,0.09621337966209809
mistral-7b,number,target_mean_span,0.07392664158869633,0.10391354411148646
mistral-7b,pos,target_mean_span,0.14212610166451434,0.15025887552251538
phi-3-mini,gender,full_prompt_final,0.035221667682416746,0.049664659336893124
