model_id,feature_set,task,split,fold,real_accuracy,shuffled_accuracy,shuffled_macro_f1,shuffled_majority_accuracy,shuffled_selected_layer
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,0,0.9297872340425531,0.5148936170212766,0.48991831838693095,0.6542553191489362,1
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,1,0.9542553191489361,0.502127659574468,0.46088235294117647,0.6808510638297872,9
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,2,0.8882978723404256,0.524468085106383,0.5053068432671082,0.6425531914893617,0
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,3,0.9372340425531915,0.526595744680851,0.5066513028392022,0.6180851063829788,12
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,4,0.8807241746538871,0.5005324813631523,0.4913743221939262,0.5346112886048988,0
llama-3.2-1b,full_prompt_final,gender,random,0,0.9819148936170212,0.5425531914893617,0.5059066283322576,0.625531914893617,6
llama-3.2-1b,full_prompt_final,gender,random,1,0.9829787234042553,0.5553191489361702,0.5172403624997542,0.625531914893617,11
llama-3.2-1b,full_prompt_final,gender,random,2,0.9776595744680852,0.5457446808510639,0.48909857172132976,0.6265957446808511,0
llama-3.2-1b,full_prompt_final,gender,random,3,0.9882978723404255,0.5276595744680851,0.48787419198091675,0.6265957446808511,0
llama-3.2-1b,full_prompt_final,gender,random,4,0.979765708200213,0.549520766773163,0.5082594953555427,0.6261980830670927,4
llama-3.2-1b,full_prompt_final,gender,root-heldout,0,0.8776595744680851,0.5329787234042553,0.50127563506806,0.6021276595744681,10
llama-3.2-1b,full_prompt_final,gender,root-heldout,1,0.9138297872340425,0.5382978723404256,0.5125599801181441,0.6468085106382979,10
llama-3.2-1b,full_prompt_final,gender,root-heldout,2,0.8851063829787233,0.5127659574468085,0.506248165002936,0.5468085106382978,3
llama-3.2-1b,full_prompt_final,gender,root-heldout,3,0.8861702127659574,0.5393617021276595,0.477691329460483,0.7138297872340426,15
llama-3.2-1b,full_prompt_final,gender,root-heldout,4,0.8551650692225772,0.49627263045793396,0.4742932827685632,0.6208732694355698,10
llama-3.2-1b,full_prompt_final,number,lemma-heldout,0,0.8904255319148936,0.7063829787234043,0.34343045793478355,0.8106382978723404,0
llama-3.2-1b,full_prompt_final,number,lemma-heldout,1,0.9319148936170213,0.7170212765957447,0.32209641887391777,0.8436170212765958,0
llama-3.2-1b,full_prompt_final,number,lemma-heldout,2,0.9053191489361702,0.698936170212766,0.34117477761325726,0.8287234042553191,1
llama-3.2-1b,full_prompt_final,number,lemma-heldout,3,0.9297872340425531,0.6957446808510638,0.3295021405770591,0.8574468085106383,1
llama-3.2-1b,full_prompt_final,number,lemma-heldout,4,0.9254526091586794,0.7699680511182109,0.3343592943052234,0.8668796592119276,0
llama-3.2-1b,full_prompt_final,number,random,0,0.9787234042553191,0.774468085106383,0.3233468505001352,0.8414893617021276,0
llama-3.2-1b,full_prompt_final,number,random,1,0.973404255319149,0.7457446808510638,0.34126257037292357,0.8414893617021276,13
llama-3.2-1b,full_prompt_final,number,random,2,0.9670212765957447,0.7606382978723404,0.33520121250908513,0.8414893617021276,1
