model_id,feature_set,task,split,folds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,majority_accuracy_mean,above_majority_mean,selected_layer_mean,selected_layers
allam-7b,full_prompt_final,gender,lemma-heldout,5,0.945521265266354,0.012170338834507115,0.9413416484182393,0.012628150280387903,0.6260711938911925,0.31945007137516146,3.6,"2,3,4,4,5"
allam-7b,full_prompt_final,gender,random,5,0.9819094555094827,0.0038755641856353484,0.980721380189925,0.004083233331749489,0.6260906804432058,0.35581877506627685,4.6,"2,4,5,6,6"
allam-7b,full_prompt_final,gender,root-heldout,5,0.9129669408379216,0.026851965460560973,0.9075633005511833,0.026678349570415344,0.6260895475041353,0.2868773933337865,16.2,"2,5,24,24,26"
allam-7b,full_prompt_final,number,lemma-heldout,5,0.97872068520155,0.010399399051678986,0.9243645586816293,0.06886916054196786,0.8414610382253642,0.13725964697618562,14.2,"3,4,19,21,24"
allam-7b,full_prompt_final,number,random,5,0.9908497043029026,0.002569399169626557,0.9601645216150636,0.016585012457251486,0.8414556001178257,0.14939410418507695,11.0,"4,5,10,17,19"
allam-7b,full_prompt_final,number,root-heldout,5,0.9563816191965197,0.052998699020389714,0.8620042167899239,0.1377102964801228,0.8414483493077742,0.11493326988874535,17.6,"8,18,19,20,23"
allam-7b,full_prompt_final,pos,lemma-heldout,5,0.8817272254505166,0.020883920678856967,0.8704306170232741,0.015277711981069309,0.6290024193366044,0.25272480611391235,20.0,"14,15,22,23,26"
allam-7b,full_prompt_final,pos,random,5,0.9644775815678205,0.006966808389899473,0.9593474572168711,0.007945154592557842,0.6290150812851878,0.33546250028263275,22.8,"20,21,23,24,26"
allam-7b,full_prompt_final,pos,root-heldout,5,0.8766188075157709,0.013565765141130124,0.8599763539025383,0.02809590059069271,0.6290290998711194,0.24758970764465144,18.4,"16,16,18,18,24"
allam-7b,metadata_free_prompt_final,gender,lemma-heldout,5,0.8591169872884237,0.012422697013051069,0.8493813287900511,0.011094340876519369,0.6260711938911925,0.2330457933972311,20.2,"4,21,25,25,26"
allam-7b,metadata_free_prompt_final,gender,random,5,0.9529710194185756,0.007523351164593395,0.9500426715293578,0.007896799593089412,0.6260906804432058,0.3268803389753699,16.8,"6,8,18,25,27"
allam-7b,metadata_free_prompt_final,gender,root-heldout,5,0.8440112840731425,0.033257876473621016,0.8327274508922475,0.03718068124293288,0.6260895475041353,0.2179217365690073,12.2,"5,8,11,12,25"
allam-7b,metadata_free_prompt_final,number,lemma-heldout,5,0.9704189608682844,0.01116641155645773,0.8876838774557999,0.07126211285725596,0.8414610382253642,0.12895792264292025,17.8,"12,13,16,22,26"
allam-7b,metadata_free_prompt_final,number,random,5,0.9870187841297895,0.0020613054736302525,0.9512702300856478,0.024314284496075488,0.8414556001178257,0.1455631840119639,11.4,"5,5,12,14,21"
allam-7b,metadata_free_prompt_final,number,root-heldout,5,0.9625443545646115,0.011087505712694358,0.8687217811808798,0.03738583766233329,0.8414483493077742,0.12109600525683728,16.0,"4,8,20,22,26"
allam-7b,metadata_free_prompt_final,pos,lemma-heldout,5,0.8798064530716531,0.02614107085276519,0.8636005661304742,0.025596111784651855,0.6290024193366042,0.2508040337350487,22.8,"13,25,25,25,26"
