model,task,split,metric,prompt_value,target_value,delta,ci_lower,ci_upper,bootstrap_se,proportion_delta_gt_zero,n_test,n_bootstrap,n_clusters,duplicate_rows,max_cluster_size,sampling_unit,point_estimand,bootstrap_seed,cell_bootstrap_seed
llama-3.2-1b,gender,lemma-heldout,accuracy,0.8841657810839533,0.7662061636556854,-0.11795961742826788,-0.21949258199240484,-0.002937866631316872,0.05506977610848739,0.0215,941,10000,458,483,37,exact rendered prompt cluster,occurrence-weighted test performance,449435368,449435368
llama-3.2-1b,gender,lemma-heldout,macro_f1,0.8779720583388952,0.7514885239604341,-0.12648353437846116,-0.22935533726391202,-0.013683379909935487,0.05477277256839621,0.0141,941,10000,458,483,37,exact rendered prompt cluster,occurrence-weighted test performance,449435368,449435368
llama-3.2-1b,gender,root-heldout,accuracy,0.8108395324123273,0.7502656748140276,-0.060573857598299696,-0.12696673800606384,0.007092198581560294,0.034103294738129925,0.0385,941,10000,469,472,16,exact rendered prompt cluster,occurrence-weighted test performance,1931082307,1931082307
llama-3.2-1b,gender,root-heldout,macro_f1,0.793455099685308,0.7292789136633135,-0.06417618602199449,-0.13692403153442226,0.008663669328369823,0.036956614877350136,0.0428,941,10000,469,472,16,exact rendered prompt cluster,occurrence-weighted test performance,1931082307,1931082307
llama-3.2-1b,number,lemma-heldout,accuracy,0.9075451647183846,0.740701381509033,-0.16684378320935167,-0.2591875390783037,-0.08384741856608868,0.044845552910139225,0.0,941,10000,458,483,37,exact rendered prompt cluster,occurrence-weighted test performance,1360535207,1360535207
llama-3.2-1b,number,lemma-heldout,macro_f1,0.78198180684147,0.531814194314704,-0.250167612526766,-0.35499467077947816,-0.11003554585508567,0.06217944322465847,0.0005,941,10000,458,483,37,exact rendered prompt cluster,occurrence-weighted test performance,1360535207,1360535207
llama-3.2-1b,number,root-heldout,accuracy,0.9054197662061636,0.8140276301806588,-0.09139213602550478,-0.14010695187165778,-0.042742366028547765,0.025109128253725466,0.0001,941,10000,469,472,16,exact rendered prompt cluster,occurrence-weighted test performance,2650006526,2650006526
llama-3.2-1b,number,root-heldout,macro_f1,0.5373591759130508,0.4899058265401662,-0.047453349372884646,-0.10598228510086022,0.018388860596156898,0.031489223037325244,0.0716,941,10000,469,472,16,exact rendered prompt cluster,occurrence-weighted test performance,2650006526,2650006526
llama-3.2-1b,pos,lemma-heldout,accuracy,0.7545164718384697,0.7045696068012752,-0.04994686503719448,-0.1195923978128042,0.02347888772967014,0.03631710835494905,0.0825,941,10000,458,483,37,exact rendered prompt cluster,occurrence-weighted test performance,2816047291,2816047291
llama-3.2-1b,pos,lemma-heldout,macro_f1,0.732527509766758,0.6313033727710703,-0.10122413699568766,-0.17341169341487317,-0.0293374103165832,0.036419761837816575,0.0029,941,10000,458,483,37,exact rendered prompt cluster,occurrence-weighted test performance,2816047291,2816047291
